 * Serving Flask app 'app'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 144-673-798
127.0.0.1 - - [16/Mar/2026 11:32:58] "HEAD /api/health HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:51:19] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:51:23] "GET /api/users/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:51:23] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:51:23] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:51:23] "GET /api/users/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:51:24] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:51:24] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:55:36] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:55:37] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:55:37] "GET /api/users/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:55:37] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:55:37] "GET /api/users/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:55:37] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:58:37] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:58:37] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:58:37] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:58:38] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:58:43] "GET /api/users/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:58:43] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:58:44] "GET /api/duties/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:58:44] "GET /api/users/ HTTP/1.1" 200 -
127.0.0.1 - - [16/Mar/2026 11:58:49] "PUT /api/users/2 HTTP/1.1" 200 -
